// brief monster list
//
// humanoid:
//    humans (@):   bandit (2), cutpurse (3), soldier
//    kobolds (k):  kobold (1), kobold chieftain (3), kobold shaman
//    goblins (g):  goblin (2), gnoll (3)
//    orcs (o):     orc, ogre
//    trolls (T):   troll, ettin
// giants (G):
//    mountain giant, frost giant
// feline (f):
//    scrawny cat (1), jaguar (3), panther, tiger, lion
// canine:
//    dogs (d):     scrawny dog (1), hound (2), large dog (3), hell hound
//    wolves (w):   grey wolf (2)
// undead (z):
//    skeleton (1), zombie (2), ghost, lich
// mammal:
//    giant rat (1), brown bear (3), grizzly bear
// insects:
//    ants (a):     giant ant (1), ant queen
//    spiders (S):  giant spider (2), cave spider (3)
//    other:        giant centipede (1), carrion crawler
// reptiles:
//    lizards (l):  giant lizard (1), rock lizard, komodo dragon
//    snakes (s):   large snake (2), large yellow snake (3), python
// jellies (j):
//    ooze (2)
// aquatic:
//    fish (f):     fish (1), piranha (2)
//    merman (m):   merman (3)
// flying:
//    bats (b):     large bat (1), blood bat (3), vampire bat
//    birds (b):    raven (2), fire crow
// dragons (D):
//    red, green, black
// robots (R):
//    cyborg
// bosses:
//    thanatos, draconis

//
//
// level 1 monsters
//
//

monster_type "giant rat" {
	type = "mammal"
	unidentified_name = "rat"
	icon = "r"
	icon_color3 = "179,65,65"
	icon_color2 = "179,36,36"
	icon_color = "128,0,0"
	icon_color4 = "71,32,32"
	icon_color5 = "48,0,0"
	article = "a "
	level = 1
	attack_rating = 6
	defense_rating = 9
	health = "1d6"
	damage = "1d4"
	xp = 6
	weight = 3
	corpse = 10
	ai_neutral
	land
}

monster_type "giant lizard" {
	type = "reptile"
	unidentified_name = "lizard"
	icon = "l"
	icon_color3 = "255,173,92"
	icon_color2 = "255,152,51"
	icon_color = "255,127,0"
	icon_color4 = "141,102,63"
	icon_color5 = "96,48,0"
	article = "a "
	level = 1
	attack_rating = 8
	defense_rating = 8
	health = "1d6"
	damage = "1d4"
	xp = 8
	weight = 2
	corpse = 15
	ai_neutral
	land
}

monster_type "scrawny dog" {
	type = "canine"
	unidentified_name = "dog"
	icon = "d"
	icon_color3 = "153,162,162"
	icon_color2 = "119,128,128"
	icon_color = "85,85,85"
	icon_color4 = "89,99,99"
	icon_color5 = "55,51,51"
	article = "a "
	level = 1
	attack_rating = 6
	defense_rating = 6
	health = "1d6"
	damage = "1d4"
	xp = 4
	weight = 30
	corpse = 20
	ai_neutral
	land
}

monster_type "giant ant" {
	type = "insect"
	unidentified_name = "ant"
	icon = "a"
	icon_color3 = "150,126,76"
	icon_color2 = "150,120,60"
	icon_color = "80,60,20"
	icon_color4 = "44,38,26"
	icon_color5 = "30,20,1"
	article = "a "
	level = 1
	attack_rating = 4
	defense_rating = 4
	health = "1d6"
	damage = "1d4"
	xp = 4
	ai_neutral
	land
}

monster_type "giant centipede" {
	type = "insect"
	unidentified_name = "centipede"
	icon = "c"
	icon_color3 = "150,126,76"
	icon_color2 = "150,120,60"
	icon_color = "80,60,20"
	icon_color4 = "44,38,26"
	icon_color5 = "30,20,1"
	article = "a "
	level = 1
	attack_rating = 6
	defense_rating = 6
	health = "1d6"
	damage = "1d4+1"
	xp = 6
	ai_neutral
	land
}

monster_type "kobold" {
	type = "humanoid"
	unidentified_name = "kobold"
	icon = "k"
	icon_color = "65,65,179"
	icon_color2 = "36,36,179"
	icon_color3 = "0,0,128"
	icon_color4 = "32,32,71"
	icon_color5 = "0,0,48"
	article = "a "
	level = 1
	attack_rating = 9
	defense_rating = 9
	health = "1d6"
	damage = "1d6"
	xp = 10
	weight = 30
	corpse = 20
	ai_hostile
	land
}

monster_type "skeleton" {
	type = "undead"
	unidentified_name = "skeleton"
	icon = "u"
	icon_color3 = "153,162,162"
	icon_color2 = "119,128,128"
	icon_color = "85,85,85"
	icon_color4 = "89,99,99"
	icon_color5 = "55,51,51"
	article = "a "
	level = 1
	attack_rating = 9
	defense_rating = 6
	health = "1d6"
	damage = "1d6"
	xp = 6
	ai_hostile
	land
}

monster_type "scrawny cat" {
	type = "feline"
	unidentified_name = "cat"
	icon = "f"
	icon_color3 = "255,173,92"
	icon_color2 = "255,152,51"
	icon_color = "255,127,0"
	icon_color4 = "141,102,63"
	icon_color5 = "96,48,0"
	article = "a "
	level = 1
	attack_rating = 4
	defense_rating = 4
	health = "1d6"
	damage = "1d4"
	xp = 4
	weight = 8
	corpse = 10
	ai_neutral
	land
}

monster_type "large bat" {
	type = "bird"
	unidentified_name = "bat"
	icon = "b"
	icon_color3 = "191,169,138"
	icon_color2 = "191,162,119"
	icon_color = "127,101,63"
	icon_color4 = "95,81,59"
	icon_color5 = "83,57,20"
	article = "a "
	level = 1
	attack_rating = 6
	defense_rating = 10
	health = "1d6"
	damage = "1d4"
	xp = 5
	weight = 2
	corpse = 10
	ai_neutral
	flying
}

monster_type "fish" {
	type = "fish"
	unidentified_name = "fish"
	icon = "f"
	icon_color3 = "100,223,223"
	icon_color2 = "56,223,223"
	icon_color = "0,191,191"
	icon_color4 = "36,143,143"
	icon_color5 = "0,124,124"
	article = "a "
	level = 1
	attack_rating = 4
	defense_rating = 4
	health = "1d6"
	damage = "1d4"
	xp = 4
	weight = 3
	corpse = 10
	ai_neutral
	aquatic
}

//
//
// level 2 monsters
//
//

monster_type "bandit" {
	type = "humanoid"
	unidentified_name = "human"
	icon = "@"
	icon_color = "92,255,92"
	icon_color2 = "51,255,51"
	icon_color3 = "0,255,0"
	icon_color4 = "63,141,63"
	icon_color5 = "0,96,0"
	article = "a "
	level = 2
	attack_rating = 14
	defense_rating = 10
	health = "1d6"
	damage = "1d6"
	xp = 12
	weight = 150
	corpse = 20
	ai_hostile
	land
}

monster_type "large snake" {
	type = "reptile"
	unidentified_name = "snake"
	icon = "s"
	icon_color3 = "103,230,103"
	icon_color2 = "57,230,57"
	icon_color = "0,204,0"
	icon_color4 = "38,153,38"
